RT title,imdb_title,year,length,budget,rating,votes,rlow,rmed,rhigh,mpaa_kid,mpaa_adult,Action,Animation,Comedy,Drama,Documentary,Romance,Short,cast1,cast2,cast3
40 Days and 40 Nights,40 Days and 40 Nights,2002,96,17000000,5.4,8609,13.5,68.0,13.5,1,0,0,0,1,1,0,1,0,Josh Hartnett,Shannyn Sossamon,Paulo Costanzo
50 First Dates,50 First Dates,2004,99,75000000,6.8,13497,13.5,48.0,43.5,1,0,0,0,1,0,0,1,0,Adam Sandler,Drew Barrymore,Rob Schneider
Formula 51 (The 51st State),51st State The,2001,92,28000000,6.1,6752,13.5,68.0,23.5,1,0,1,0,1,0,0,0,0,Samuel L. Jackson,Robert Carlyle,Emily Mortimer
54,54,1998,100,13000000,5.4,6905,13.5,68.0,13.5,1,0,0,0,0,1,0,0,0,Ryan Phillippe,Salma Hayek,Neve Campbell
The 6th Day,6th Day The,2000,123,82000000,5.9,12064,13.5,68.0,23.5,1,0,1,0,0,0,0,0,0,Arnold Schwarzenegger,Tony Goldwyn,Michael Rapaport
72 metra (72 Meters),72 metra,2004,100,1600000,6,147,13.5,38.0,43.5,1,0,1,0,0,1,0,0,0,Sergei Makovetsky,Marat Basharov,Andrei Krasko
8 Mile,8 Mile,2002,110,41000000,6.8,17900,13.5,48.0,43.5,1,0,0,0,0,1,0,0,0,Eminem,Kim Basinger,Brittany Murphy
8MM,8MM,1999,123,40000000,5.9,18541,13.5,58.0,23.5,1,0,0,0,0,0,0,0,0,Nicolas Cage,Joaquin Phoenix,James Gandolfini
AVP - Alien Vs. Predator,AVP Alien Vs Predator,2004,102,45000000,5.4,14651,13.5,48.0,13.5,1,0,1,0,0,0,0,0,0,Sanaa Lathan,Raoul Bova,Lance Henriksen
Abandon,Abandon,2002,99,25000000,4.7,2364,13.5,58.0,13.5,1,0,0,0,0,1,0,0,0,Katie Holmes,Benjamin Bratt,Charlie Hunnam
Aberdeen,Aberdeen,2000,106,6500000,7.3,644,13.5,38.0,63.5,1,0,0,0,0,1,0,0,0,Stellan Skarsgard,Lena Headey,Ian Hart
About Schmidt,About Schmidt,2002,125,30000000,7.3,23279,13.5,48.0,43.5,1,0,0,0,1,1,0,0,0,Jack Nicholson,Hope Davis,Dermot Mulroney
About a Boy,About a Boy,2002,101,27000000,7.5,18318,13.5,38.0,63.5,1,0,0,0,1,1,0,0,0,Hugh Grant,Nicholas Hoult,Toni Collette
Absolon,Absolon,2003,96,8000000,4.1,548,33.5,48.0,13.5,1,0,1,0,0,0,0,0,0,Christopher Lambert,Lou Diamond Phillips,Kelly Brook
Absolute Power,Absolute Power,1997,121,50000000,6.4,7995,13.5,78.0,23.5,1,0,0,0,0,1,0,0,0,Clint Eastwood,Gene Hackman,Ed Harris
The Abyss,Abyss The,1989,171,69500000,7.4,21987,13.5,48.0,53.5,1,0,1,0,0,1,0,0,0,Ed Harris,Mary Elizabeth Mastrantonio,Michael Biehn
Ace Ventura: Pet Detective,Ace Ventura Pet Detective,1994,86,12000000,6.2,20705,13.5,48.0,23.5,1,0,0,0,1,0,0,0,0,Jim Carrey,Courteney Cox,Sean Young
Ace Ventura - When Nature Calls,Ace Ventura When Nature Calls,1995,90,30000000,4.9,15161,13.5,58.0,13.5,1,0,0,0,1,0,0,0,0,Jim Carrey,Ian McNeice,Simon Callow
Acts Of Betrayal,Acts of Betrayal,1997,90,3000000,4.6,94,23.5,58.0,13.5,1,0,1,0,0,0,0,0,0,Maria Conchita Alonso,Matt McColm,David Groh
Adaptation,Adaptation,2002,114,19000000,7.9,25140,13.5,28.0,73.5,1,0,0,0,1,1,0,0,0,Nicolas Cage,Meryl Streep,Chris Cooper
The Addams Family,Addams Family The,1991,99,38000000,6.4,11549,13.5,68.0,23.5,1,0,0,0,1,0,0,0,0,Anjelica Huston,Raul Julia,Christopher Lloyd
The Adventures of Baron Munchausen,Adventures of Baron Munchausen The,1988,125,46630000,6.8,7927,13.5,48.0,53.5,1,0,0,0,1,0,0,0,0,John Neville,Sarah Polley,Eric Idle
The Adventures of Elmo in Grouchland,Adventures of Elmo in Grouchland The,1999,89,17000000,5.5,420,13.5,58.0,33.5,1,0,0,0,1,0,0,0,0,Kevin Clash,Fran Brill,Stephanie D'Abruzzo
The Adventures of Huck Finn,Adventures of Huck Finn The,1993,108,6500000,5.9,1134,13.5,58.0,33.5,1,0,0,0,0,1,0,0,0,Elijah Wood,Courtney B. Vance,Robbie Coltrane
The Adventures of Pinocchio,Adventures of Pinocchio The,1996,92,25000000,5.6,577,13.5,48.0,33.5,1,0,0,0,0,0,0,0,0,Martin Landau,Jonathan Taylor Thomas,Genevieve Bujold
The Adventures of Pluto Nash,Adventures of Pluto Nash The,2002,95,100000000,3.9,2543,43.5,48.0,13.5,1,0,1,0,1,0,0,0,0,Eddie Murphy,Randy Quaid,Rosario Dawson
The Adventures of Rocky & Bullwinkle,Adventures of Rocky  Bullwinkle The,2000,88,76000000,4.3,4815,43.5,58.0,13.5,1,0,0,1,1,0,0,0,0,Rene Russo,Jason Alexander,Piper Perabo
Affliction,Affliction,1997,114,6000000,6.9,3679,13.5,48.0,43.5,1,0,0,0,0,1,0,0,0,Nick Nolte,James Coburn,Sissy Spacek
After Hours,After Hours,1985,96,4500000,7.4,5630,13.5,38.0,53.5,1,0,0,0,1,0,0,0,0,Griffin Dunne,Rosanna Arquette,Verna Bloom
After Image,After Image,2001,92,1200000,3.9,60,43.5,18.0,33.5,1,0,0,0,0,0,0,0,0,John Mellencamp,Terrylene,Louise Fletcher
After Midnight,After Midnight,1989,90,3000000,5.1,160,13.5,58.0,13.5,1,0,0,0,0,0,0,0,0,Jillian McWhirter,Pamela Segall,Nadine Van der Velde
After Sex,After Sex,2000,96,5000000,4.5,205,13.5,48.0,13.5,1,0,0,0,1,1,0,1,0,Mila Kunis,Jane Seymour,Zoe Saldana
After the Sunset,After the Sunset,2004,97,58000000,6,3431,13.5,68.0,23.5,1,0,1,0,1,0,0,0,0,Pierce Brosnan,Salma Hayek,Woody Harrelson
The Age of Innocence,Age of Innocence The,1993,139,34000000,7.1,6049,13.5,38.0,53.5,1,0,0,0,0,1,0,1,0,Daniel Day-Lewis,Michelle Pfeiffer,Winona Ryder
Agent Cody Banks,Agent Cody Banks,2003,102,26000000,5.5,2655,13.5,58.0,13.5,1,0,1,0,1,0,0,0,0,Frankie Muniz,Hilary Duff,Keith David
Agent Cody Banks 2 - Destination London,Agent Cody Banks 2 Destination London,2004,100,26000000,3.8,919,33.5,48.0,13.5,1,0,1,0,1,0,0,0,0,Frankie Muniz,Anthony Anderson,Hannah Spearritt
Agent on Ice,Agent on Ice,1985,96,2500000,4.4,15,19.0,38.0,43.5,1,0,1,0,0,0,0,0,0,Tom Ormeny,Clifford David,Louis Pastore
Air Bud,Air Bud,1997,98,3000000,4.7,1276,23.5,58.0,13.5,1,0,0,0,1,1,0,0,0,Michael Jeter,Kevin Zegers,Wendy Makkena
Air Force One,Air Force One,1997,124,85000000,6.3,26156,13.5,58.0,23.5,1,0,1,0,0,1,0,0,0,Harrison Ford,Gary Oldman,Glenn Close
Airborne,Airborne,1993,91,2600000,5.2,1047,13.5,48.0,33.5,1,0,0,0,1,0,0,0,0,Shane Mc Dermott,Seth Green,Brittney Powell
Airplane!,Airplane,1980,88,3500000,7.8,23369,13.5,28.0,53.5,1,0,0,0,1,0,0,0,0,Robert Hays,Julie Hagerty,Kareem Abdul-Jabbar
Akumulator 1 (Accumulator 1),Akumulator 1,1994,102,2000000,7.1,272,9.0,18.0,83.5,1,0,0,0,1,0,0,0,0,Petr Forman,Edita Brychta,Zdenek Sverak
Alamo: The Price Of Freedom,Alamo The,2004,137,95000000,5.9,3060,13.5,58.0,23.5,1,0,1,0,0,1,0,0,0,Merrill Connally,Steve Sandor,Casey Biggs
"An Alan Smithee Film: Burn, Hollywood, Burn",Alan Smithee Film Burn Hollywood Burn An,1997,86,10000000,3.2,1262,53.5,18.0,13.5,1,0,0,0,1,0,0,0,0,Ryan O'Neal,Coolio,Chuck D.
Albino Alligator,Albino Alligator,1996,97,5000000,6,2077,13.5,68.0,23.5,1,0,0,0,0,1,0,0,0,Matt Dillon,Faye Dunaway,Gary Sinise
Alexander,Alexander,2004,175,150000000,5.5,11254,23.5,48.0,23.5,1,0,0,0,0,1,0,0,0,Colin Farrell,Angelina Jolie,Val Kilmer
Alfie,Alfie,2004,103,60000000,6,3492,13.5,58.0,23.5,1,0,0,0,1,1,0,0,0,Jude Law,Marisa Tomei,Omar Epps
Ali,Ali,2001,165,107000000,6.4,9294,13.5,68.0,23.5,1,0,0,0,0,1,0,0,0,Will Smith,Jamie Foxx,Jon Voight
Alias,Alias,2002,98,1500000,5.7,266,13.5,58.0,23.5,1,0,0,0,0,1,0,1,0,Hilde De Baerdemaeker,Geert Hunaerts,Veerle Dobbelaere
Alice,Alice,1990,102,12000000,6.4,1706,13.5,58.0,23.5,1,0,0,0,1,1,0,1,0,Mia Farrow,Joe Mantegna,Alec Baldwin
Alien Nation,Alien Nation,1988,91,16000000,6,2171,13.5,68.0,23.5,1,0,0,0,0,1,0,0,0,James Caan,Mandy Patinkin,Terence Stamp
Alien Resurrection,Alien Resurrection,1997,116,70000000,6,24358,13.5,58.0,23.5,1,0,1,0,0,0,0,0,0,Sigourney Weaver,Winona Ryder,Ron Perlman
Aliens,Aliens,1986,154,18500000,8.3,63961,13.5,28.0,73.5,1,0,1,0,0,0,0,0,0,Sigourney Weaver,Carrie Henn,Michael Biehn
Alive,Alive,1993,127,32000000,6.7,5786,13.5,48.0,33.5,1,0,1,0,0,1,0,0,0,Ethan Hawke,Vincent Spano,Josh Hamilton
All About the Benjamins,All About the Benjamins,2002,95,14000000,5.4,1250,13.5,58.0,13.5,1,0,1,0,1,0,0,0,0,Ice Cube,Mike Epps,Eva Mendes
All the Pretty Horses,All the Pretty Horses,2000,116,45000000,5.6,3133,13.5,58.0,23.5,1,0,0,0,0,1,0,0,0,Matt Damon,Henry Thomas,Lucas Black
All The Queen's Men,All the Queens Men,2001,105,25000000,5,353,23.5,48.0,23.5,1,0,1,0,1,1,0,0,0,Matt LeBlanc,Eddie Izzard,James Cosmo
All the Real Girls,All the Real Girls,2003,108,1000000,6.8,1745,13.5,38.0,43.5,1,0,0,0,0,1,0,1,0,Paul Schneider,Zooey Deschanel,Shea Whigham
Alligator,Alligator,1980,89,1000000,5.5,1032,13.5,68.0,13.5,1,0,0,0,1,0,0,0,0,Robert Forster,Robin Riker,Michael Vincente Gazzo
Alligator II: The Mutation (Alligator 2),Alligator II The Mutation,1991,92,3000000,2.7,282,73.5,28.0,13.5,1,0,0,0,0,0,0,0,0,Joseph Bologna,Woody Brown,Harlan Arnold
Almost Famous,Almost Famous,2000,162,60000000,8,38648,13.5,28.0,73.5,1,0,0,0,1,1,0,0,0,Patrick Fugit,Billy Crudup,Frances McDormand
Almost You,Almost You,1985,96,1000000,4.9,44,23.5,58.0,13.5,1,0,0,0,1,1,0,0,0,Brooke Adams,Griffin Dunne,Karen Young
Alone in the Dark,Alone in the Dark,2005,96,20000000,2.1,2880,73.5,18.0,13.5,1,0,1,0,0,0,0,0,0,Christian Slater,Tara Reid,Stephen Dorff
Along Came Polly,Along Came Polly,2004,90,42000000,5.8,9785,13.5,68.0,13.5,1,0,0,0,1,0,0,1,0,Ben Stiller,Jennifer Aniston,Philip Seymour Hoffman
Along Came a Spider,Along Came a Spider,2001,104,28000000,6.1,9456,13.5,68.0,23.5,1,0,0,0,0,1,0,0,0,Morgan Freeman,Monica Potter,Michael Wincott
Always,Always,1989,106,29500000,6.2,4913,13.5,68.0,23.5,1,0,0,0,0,1,0,1,0,Richard Dreyfuss,Holly Hunter,Brad Johnson
Amadeus,Amadeus,1984,180,18000000,8.3,36955,13.5,28.0,83.5,1,0,0,0,0,1,0,0,0,F Murray Abraham,Tom Hulce,Elizabeth Berridge
Ame agaru (When the Rain Lifts) (After the Rain),Ame agaru,1999,91,3800000,7.8,448,13.5,28.0,63.5,1,0,0,0,0,1,0,0,0,Akira Terao,Yoshiko Miyazaki,Shiro Mifune
American Pie,America 3000,1986,84,2000000,3.7,123,43.5,28.0,33.5,1,0,1,0,0,0,0,0,0,Jason Biggs,Shannon Elizabeth,Alyson Hannigan
America's Sweethearts,Americas Sweethearts,2001,102,48000000,5.8,11849,13.5,68.0,13.5,1,0,0,0,1,0,0,1,0,Julia Roberts,Billy Crystal,Catherine Zeta-Jones
American Beauty,American Beauty,1999,121,15000000,8.5,109991,13.5,18.0,73.5,1,0,0,0,0,1,0,0,0,Kevin Spacey,Annette Bening,Thora Birch
American Drive-In,American DriveIn,1985,92,10000000,4.1,25,43.5,58.0,4.5,1,0,0,0,1,0,0,0,0,Emily Longstreth,Pat Jack Kirton,Rhonda Snow
American Gigolo,American Gigolo,1980,117,4800000,5.7,2469,13.5,68.0,23.5,1,0,0,0,0,1,0,1,0,Richard Gere,Lauren Hutton,Hector Elizondo
American History X,American History X,1998,119,10000000,8.4,59677,13.5,28.0,73.5,1,0,0,0,0,1,0,0,0,Edward Norton,Edward Furlong,Fairuza Balk
American Me,American Me,1992,125,16000000,6.6,697,13.5,38.0,43.5,1,0,0,0,0,1,0,0,0,Edward James Olmos,William Forsythe,Pepe Serna
American Outlaws,American Outlaws,2001,94,35000000,5.5,2878,13.5,58.0,33.5,1,0,1,0,1,0,0,0,0,Colin Farrell,Scott Caan,Ali Larter
American Pie,American Pie,1999,95,11000000,6.8,41126,13.5,48.0,53.5,1,0,0,0,1,0,0,0,0,Jason Biggs,Shannon Elizabeth,Alyson Hannigan
American Pie 2,American Pie 2,2001,105,30000000,6.3,22752,13.5,58.0,23.5,1,0,0,0,1,0,0,0,0,Jason Biggs,Shannon Elizabeth,Jennifer Coolidge
American Psycho,American Psycho,2000,102,8000000,6.8,21639,13.5,48.0,53.5,1,0,0,0,0,1,0,0,0,Christian Bale,Willem Dafoe,Jared Leto
American Wedding,American Wedding,2003,103,55000000,6.3,13590,13.5,58.0,23.5,1,0,0,0,1,0,0,0,0,Jason Biggs,Alyson Hannigan,January Jones
An American Werewolf in London,American Werewolf in London An,1981,92,10000000,7.2,8347,13.5,48.0,53.5,1,0,0,0,1,0,0,1,0,David Naughton,Jenny Agutter,Griffin Dunne
An American Werewolf in Paris,American Werewolf in Paris An,1997,105,22000000,5,4302,13.5,58.0,13.5,1,0,0,0,1,0,0,1,0,Tom Everett Scott,Julie Delpy,Vince Vieluf
Amistad,Amistad,1997,152,40000000,7,10543,13.5,48.0,53.5,1,0,0,0,0,1,0,0,0,Morgan Freeman,Anthony Hopkins,Matthew McConaughey
Amores Perros,Amores perros,2000,153,2000000,8.2,15079,13.5,28.0,73.5,1,0,0,0,0,1,0,0,0,Emilio Echeverria,Gael Garcia Bernal,Goya Toledo
Anaconda,Anaconda,1997,89,45000000,4.1,10510,43.5,48.0,13.5,1,0,1,0,0,0,0,0,0,Jennifer Lopez,Ice Cube,Jon Voight
Anacondas - The Hunt for the Blood Orchid,Anacondas The Hunt for the Blood Orchid,2004,97,25000000,4.2,2258,33.5,48.0,13.5,1,0,0,0,0,0,0,0,0,Johnny Messner,KaDee Strickland,Matthew Marsden
Analyze This,Analyze This,1999,109,30000000,6.6,24521,13.5,58.0,23.5,1,0,0,0,1,0,0,0,0,Robert De Niro,Billy Crystal,Lisa Kudrow
Anastasia,Anastasia,1997,94,53000000,6.5,4896,13.5,48.0,43.5,1,0,0,1,0,0,0,0,0,Meg Ryan,John Cusack,Kelsey Grammer
Anchorman - The Legend Of Ron Burgundy,Anchorman The Legend of Ron Burgundy,2004,104,26000000,6.5,11553,13.5,38.0,33.5,1,0,0,0,1,0,0,0,0,Will Ferrell,Christina Applegate,Paul Rudd
Angel Eyes,Angel Eyes,2001,102,38000000,5.6,4829,13.5,58.0,23.5,1,0,0,0,0,1,0,1,0,Jennifer Lopez,Jim Caviezel,Sonia Braga
Angel Heart,Angel Heart,1987,113,17000000,7.1,8335,13.5,48.0,53.5,1,0,0,0,0,0,0,0,0,Mickey Rourke,Robert De Niro,Lisa Bonet
Angela's Ashes,Angelas Ashes,1999,145,25000000,6.8,4347,13.5,48.0,43.5,1,0,0,0,0,1,0,0,0,Emily Watson,Robert Carlyle,Joe Breen
Anger Management,Anger Management,2003,106,75000000,6,14280,13.5,68.0,23.5,1,0,0,0,1,0,0,0,0,Adam Sandler,Jack Nicholson,Marisa Tomei
Anna and the King,Anna and the King,1999,148,75000000,6.6,6739,13.5,48.0,43.5,1,0,0,0,0,1,0,1,0,Jodie Foster,Yun-Fat Chow,Ling Bai
Annie,Annie,1982,126,50000000,5.7,3475,13.5,48.0,33.5,1,0,0,0,0,0,0,0,0,Quvenzhane Wallis,Jamie Foxx,Cameron Diaz
Another Woman,Another Woman,1988,84,10000000,7.2,1380,13.5,48.0,53.5,1,0,0,0,0,1,0,0,0,Gena Rowlands,Mia Farrow,Ian Holm
Another You,Another You,1991,94,26000000,4.4,398,23.5,48.0,13.5,1,0,0,0,1,0,0,0,0,Richard Pryor,Gene Wilder,Mercedes Ruehl
Antikiller,Antikiller,2002,114,5000000,5.4,231,13.5,58.0,33.5,1,0,1,0,0,0,0,0,0,Yuri Kutsenko,Mikhail Ulyanov,Sergei Shakurov
Antitrust,Antitrust,2001,108,30000000,6,7326,13.5,68.0,23.5,1,0,0,0,0,1,0,0,0,Ryan Phillippe,Rachael Leigh Cook,Claire Forlani
Antwone Fisher,Antwone Fisher,2002,117,12500000,7.4,4472,13.5,38.0,53.5,1,0,0,0,0,1,0,0,0,Derek Luke,Joy Bryant,Denzel Washington
Antz,Antz,1998,83,60000000,7,16312,13.5,48.0,43.5,1,0,0,1,1,0,0,0,0,Woody Allen,Sharon Stone,Sylvester Stallone
Any Given Sunday,Any Given Sunday,1999,156,62000000,6.4,19531,13.5,48.0,23.5,1,0,0,0,0,1,0,0,0,Al Pacino,Cameron Diaz,Dennis Quaid
Anything Else,Anything Else,2003,108,18000000,6.5,3678,13.5,48.0,23.5,1,0,0,0,1,0,0,1,0,Woody Allen,Jason Biggs,Christina Ricci
Anywhere But Here,Anywhere But Here,1999,114,23000000,5.9,4007,13.5,68.0,23.5,1,0,0,0,0,1,0,0,0,Susan Sarandon,Natalie Portman,Eileen Ryan
Apartment Zero,Apartment Zero,1988,124,4000000,6.2,933,23.5,28.0,63.5,1,0,0,0,0,0,0,0,0,Colin Firth,Hart Bochner,Dora Bryan
Apollo 13,Apollo 13,1995,140,62000000,7.5,41098,13.5,48.0,53.5,1,0,0,0,0,1,0,0,0,Tom Hanks,Bill Paxton,Kevin Bacon
The Apostle,Apostle The,1997,134,5000000,7.2,4231,13.5,38.0,53.5,1,0,0,0,0,1,0,0,0,Robert Duvall,Farrah Fawcett,Miranda Richardson
Apt Pupil,Apt Pupil,1998,112,14000000,6.4,6728,13.5,58.0,23.5,1,0,0,0,0,1,0,0,0,Ian McKellen,Brad Renfro,Bruce Davison
Arachnophobia,Arachnophobia,1990,103,31000000,6.1,8608,13.5,68.0,23.5,1,0,0,0,1,0,0,0,0,Jeff Daniels,Harley Jane Kozak,John Goodman
Are We There Yet?,Are We There Yet,2005,95,32000000,3.5,1043,43.5,18.0,23.5,1,0,0,0,1,0,0,0,0,Ice Cube,Nia Long,Jay Mohr
Un Argentino en New York (An Argentinian in New York),Argentino en New York Un,1998,95,3000000,4.2,49,43.5,28.0,19.0,1,0,0,0,1,1,0,0,0,Bobby Thomson,Diana Lamas,Dusty Rhodes
Arlington Road,Arlington Road,1999,117,21500000,7.1,17189,13.5,48.0,43.5,1,0,0,0,0,1,0,0,0,Jeff Bridges,Tim Robbins,Joan Cusack
Armed Response,Armed Response,1986,86,1500000,4.2,70,23.5,48.0,23.5,1,0,1,0,0,0,0,0,0,David Carradine,Lee Van Cleef,Mako
Army of Darkness,Army of Darkness,1993,96,11000000,7.4,22118,13.5,28.0,63.5,1,0,1,0,1,0,0,0,0,Bruce Campbell,Embeth Davidtz,Marcus Gilbert
Around the Fire,Around the Fire,1999,106,1200000,5.3,254,13.5,48.0,33.5,1,0,0,0,0,0,0,0,0,Devon Sawa,Bill Smitrovich,Tara Reid
Around the World in 80 Days,Around the World in 80 Days,2004,120,110000000,5.7,3887,13.5,58.0,23.5,1,0,1,0,1,0,0,1,0,Jackie Chan,Steve Coogan,Jim Broadbent
Arrangement,Arrangement,2004,109,3200000,9.2,23,4.5,4.5,93.5,1,0,0,0,1,0,0,1,0,Billie James,Keshkemnu,Burnadair Lipscomb-Hunt
Arthur,Arthur,1981,97,7000000,6.6,4595,13.5,48.0,23.5,1,0,0,0,1,0,0,1,0,Russell Brand,Helen Mirren,Greta Gerwig
A.I. Artificial Intelligence,Artificial Intelligence AI,2001,146,90000000,6.8,36623,13.5,38.0,43.5,1,0,0,0,0,1,0,0,0,Haley Joel Osment,Jude Law,Frances O'Connor
As Good As It Gets,As Good as It Gets,1997,139,50000000,7.7,47441,13.5,28.0,53.5,1,0,0,0,1,1,0,1,0,Jack Nicholson,Helen Hunt,Greg Kinnear
Asesino En Serio,Asesino en serio,2002,84,2500000,5.8,90,13.5,68.0,23.5,1,0,0,0,1,0,0,0,0,Daniel Jimenez Cacho,Santiago Segura,Jesus Ochoa
Assassins,Assassins,1995,132,50000000,5.7,7354,13.5,68.0,23.5,1,0,1,0,0,0,0,0,0,Sylvester Stallone,Antonio Banderas,Julianne Moore
Assault on Precinct 13,Assault on Precinct 13,2005,109,20000000,6.3,2960,13.5,48.0,23.5,1,0,1,0,0,1,0,0,0,Ethan Hawke,Laurence Fishburne,Drea de Matteo
The Astronaut's Wife,Astronauts Wife The,1999,109,34000000,4.8,7253,23.5,68.0,13.5,1,0,0,0,0,0,0,0,0,Johnny Depp,Charlize Theron,Joe Morton
At Close Range,At Close Range,1986,111,6500000,6.6,1650,13.5,48.0,53.5,1,0,0,0,0,1,0,1,0,Joel Sartore,Sean Penn,Christopher Walken
At First Sight,At First Sight,1999,128,40000000,5.7,3441,13.5,68.0,23.5,1,0,0,0,0,1,0,0,0,Val Kilmer,Mira Sorvino,Kelly McGillis
Atlantic City,Atlantic City,1980,104,7200000,7.5,2384,13.5,48.0,53.5,1,0,0,0,0,1,0,1,0,Burt Lancaster,Susan Sarandon,Michel Piccoli
Atlantida,Atlantida,2002,93,1000000,7.6,9,14.5,29.0,69.0,1,0,0,0,0,1,0,1,0,Melissa Romero,Sol Zavala,Florencia Decall
Atlantis - The Lost Empire,Atlantis The Lost Empire,2001,95,90000000,6.4,6323,13.5,68.0,23.5,1,0,1,1,0,0,0,0,0,Michael J. Fox,James Garner,Cree Summer
The Attic Expeditions,Attic Expeditions The,2001,100,1000000,5.4,384,13.5,48.0,33.5,1,0,0,0,0,0,0,0,0,Andras Jones,Seth Green,Jeffrey Combs
Austin Powers in Goldmember,Austin Powers in Goldmember,2002,94,63000000,6.2,22870,13.5,58.0,23.5,1,0,1,0,1,0,0,0,0,Mike Myers,Beyonce Knowles,Seth Green
Austin Powers: International Man of Mystery,Austin Powers International Man of Mystery,1997,94,17000000,7,33755,13.5,48.0,53.5,1,0,1,0,1,0,0,0,0,Mike Myers,Elizabeth Hurley,Michael York
Austin Powers: The Spy Who Shagged Me,Austin Powers The Spy Who Shagged Me,1999,95,33000000,6.5,37019,13.5,48.0,23.5,1,0,1,0,1,0,0,0,0,Mike Myers,Heather Graham,Michael York
Auto Focus,Auto Focus,2002,105,7000000,6.7,3276,13.5,58.0,23.5,1,0,0,0,0,1,0,0,0,Greg Kinnear,Willem Dafoe,Rita Wilson
Autumn in New York,Autumn in New York,2000,103,40000000,4.7,3731,23.5,58.0,13.5,1,0,0,0,0,1,0,1,0,Richard Gere,Winona Ryder,Anthony LaPaglia
Avalon,Avalon,2001,106,8000000,6.8,2723,13.5,38.0,53.5,1,0,0,1,0,1,0,0,0,Malgorzata Foremniak,Wladyslaw Kowalski,Jerzy Gudejko
