RT_title,mpaa_kid,mpaa_adult,cast1,cast2,cast3,imdb_title,year,length,budget,imdb_rating,imdb_votes,rlow,rmed,rhigh,Action,Animation,Comedy,Drama,Documentary,Romance,Short
2001 - A Space Travesty,1,0,Leslie Nielsen,Alexandra Kamp-Groenveld,Verona Feldbusch,2001 A Space Travesty,2000,99,26000000,2.5,2023,73.5,18.0,13.5,0,0,1,0,0,0,0
2046,1,0,Li Gong,Takuya Kimura,Faye Wong,2046,2004,129,12000000,7.6,2663,13.5,28.0,63.5,0,0,0,1,0,1,0
21 Grams,1,0,Sean Penn,Benicio Del Toro,Naomi Watts,21 Grams,2003,124,20000000,8,21857,13.5,28.0,63.5,0,0,0,1,0,0,0
The 24 Hour Woman,1,0,Rosie Perez,Marianne Jean-Baptiste,Patti LuPone,24 Hour Woman The,1999,93,2500000,5.6,149,13.5,68.0,23.5,0,0,1,0,0,0,0
25th Hour,1,0,Edward Norton,Philip Seymour Hoffman,Barry Pepper,25th Hour,2002,135,15000000,7.8,15788,13.5,28.0,73.5,0,0,0,1,0,0,0
28 Days,1,0,Sandra Bullock,Viggo Mortensen,Dominic West,28 Days,2000,103,43000000,6,7465,13.5,68.0,23.5,0,0,0,1,0,0,0
28 Days Later,1,0,Cillian Murphy,Naomie Harris,Brendan Gleeson,28 Days Later,2002,113,8000000,7.3,24174,13.5,48.0,53.5,0,0,0,0,0,0,0
3 Strikes,1,0,Brian Hooks,N'Bushe Wright,Faizon Love,3 Strikes,2000,82,6000000,3.7,305,53.5,38.0,13.5,0,0,1,0,0,0,0
3000 Miles to Graceland,1,0,Kurt Russell,Kevin Costner,Courteney Cox,3000 Miles to Graceland,2001,125,62000000,5.4,7298,13.5,48.0,23.5,1,0,1,0,0,0,0
40 Days and 40 Nights,1,0,Josh Hartnett,Shannyn Sossamon,Paulo Costanzo,40 Days and 40 Nights,2002,96,17000000,5.4,8609,13.5,68.0,13.5,0,0,1,1,0,1,0
50 First Dates,1,0,Adam Sandler,Drew Barrymore,Rob Schneider,50 First Dates,2004,99,75000000,6.8,13497,13.5,48.0,43.5,0,0,1,0,0,1,0
Formula 51 (The 51st State),1,0,Samuel L. Jackson,Robert Carlyle,Emily Mortimer,51st State The,2001,92,28000000,6.1,6752,13.5,68.0,23.5,1,0,1,0,0,0,0
54,1,0,Ryan Phillippe,Salma Hayek,Neve Campbell,54,1998,100,13000000,5.4,6905,13.5,68.0,13.5,0,0,0,1,0,0,0
The 6th Day,1,0,Arnold Schwarzenegger,Tony Goldwyn,Michael Rapaport,6th Day The,2000,123,82000000,5.9,12064,13.5,68.0,23.5,1,0,0,0,0,0,0
72 metra (72 Meters),1,0,Sergei Makovetsky,Marat Basharov,Andrei Krasko,72 metra,2004,100,1600000,6,147,13.5,38.0,43.5,1,0,0,1,0,0,0
8 Mile,1,0,Eminem,Kim Basinger,Brittany Murphy,8 Mile,2002,110,41000000,6.8,17900,13.5,48.0,43.5,0,0,0,1,0,0,0
8MM,1,0,Nicolas Cage,Joaquin Phoenix,James Gandolfini,8MM,1999,123,40000000,5.9,18541,13.5,58.0,23.5,0,0,0,0,0,0,0
AVP - Alien Vs. Predator,1,0,Sanaa Lathan,Raoul Bova,Lance Henriksen,AVP Alien Vs Predator,2004,102,45000000,5.4,14651,13.5,48.0,13.5,1,0,0,0,0,0,0
Abandon,1,0,Katie Holmes,Benjamin Bratt,Charlie Hunnam,Abandon,2002,99,25000000,4.7,2364,13.5,58.0,13.5,0,0,0,1,0,0,0
Aberdeen,1,0,Stellan Skarsgard,Lena Headey,Ian Hart,Aberdeen,2000,106,6500000,7.3,644,13.5,38.0,63.5,0,0,0,1,0,0,0
About Schmidt,1,0,Jack Nicholson,Hope Davis,Dermot Mulroney,About Schmidt,2002,125,30000000,7.3,23279,13.5,48.0,43.5,0,0,1,1,0,0,0
About a Boy,1,0,Hugh Grant,Nicholas Hoult,Toni Collette,About a Boy,2002,101,27000000,7.5,18318,13.5,38.0,63.5,0,0,1,1,0,0,0
Absolon,1,0,Christopher Lambert,Lou Diamond Phillips,Kelly Brook,Absolon,2003,96,8000000,4.1,548,33.5,48.0,13.5,1,0,0,0,0,0,0
Absolute Power,1,0,Clint Eastwood,Gene Hackman,Ed Harris,Absolute Power,1997,121,50000000,6.4,7995,13.5,78.0,23.5,0,0,0,1,0,0,0
The Abyss,1,0,Ed Harris,Mary Elizabeth Mastrantonio,Michael Biehn,Abyss The,1989,171,69500000,7.4,21987,13.5,48.0,53.5,1,0,0,1,0,0,0
Ace Ventura: Pet Detective,1,0,Jim Carrey,Courteney Cox,Sean Young,Ace Ventura Pet Detective,1994,86,12000000,6.2,20705,13.5,48.0,23.5,0,0,1,0,0,0,0
Ace Ventura - When Nature Calls,1,0,Jim Carrey,Ian McNeice,Simon Callow,Ace Ventura When Nature Calls,1995,90,30000000,4.9,15161,13.5,58.0,13.5,0,0,1,0,0,0,0
Acts Of Betrayal,1,0,Maria Conchita Alonso,Matt McColm,David Groh,Acts of Betrayal,1997,90,3000000,4.6,94,23.5,58.0,13.5,1,0,0,0,0,0,0
Adaptation,1,0,Nicolas Cage,Meryl Streep,Chris Cooper,Adaptation,2002,114,19000000,7.9,25140,13.5,28.0,73.5,0,0,1,1,0,0,0
The Addams Family,1,0,Anjelica Huston,Raul Julia,Christopher Lloyd,Addams Family The,1991,99,38000000,6.4,11549,13.5,68.0,23.5,0,0,1,0,0,0,0
The Adventures of Baron Munchausen,1,0,John Neville,Sarah Polley,Eric Idle,Adventures of Baron Munchausen The,1988,125,46630000,6.8,7927,13.5,48.0,53.5,0,0,1,0,0,0,0
The Adventures of Elmo in Grouchland,1,0,Kevin Clash,Fran Brill,Stephanie D'Abruzzo,Adventures of Elmo in Grouchland The,1999,89,17000000,5.5,420,13.5,58.0,33.5,0,0,1,0,0,0,0
The Adventures of Huck Finn,1,0,Elijah Wood,Courtney B. Vance,Robbie Coltrane,Adventures of Huck Finn The,1993,108,6500000,5.9,1134,13.5,58.0,33.5,0,0,0,1,0,0,0
The Adventures of Pinocchio,1,0,Martin Landau,Jonathan Taylor Thomas,Genevieve Bujold,Adventures of Pinocchio The,1996,92,25000000,5.6,577,13.5,48.0,33.5,0,0,0,0,0,0,0
The Adventures of Pluto Nash,1,0,Eddie Murphy,Randy Quaid,Rosario Dawson,Adventures of Pluto Nash The,2002,95,100000000,3.9,2543,43.5,48.0,13.5,1,0,1,0,0,0,0
The Adventures of Rocky & Bullwinkle,1,0,Rene Russo,Jason Alexander,Piper Perabo,Adventures of Rocky  Bullwinkle The,2000,88,76000000,4.3,4815,43.5,58.0,13.5,0,1,1,0,0,0,0
Affliction,1,0,Nick Nolte,James Coburn,Sissy Spacek,Affliction,1997,114,6000000,6.9,3679,13.5,48.0,43.5,0,0,0,1,0,0,0
After Hours,1,0,Griffin Dunne,Rosanna Arquette,Verna Bloom,After Hours,1985,96,4500000,7.4,5630,13.5,38.0,53.5,0,0,1,0,0,0,0
After Image,1,0,John Mellencamp,Terrylene,Louise Fletcher,After Image,2001,92,1200000,3.9,60,43.5,18.0,33.5,0,0,0,0,0,0,0
After Midnight,1,0,Jillian McWhirter,Pamela Segall,Nadine Van der Velde,After Midnight,1989,90,3000000,5.1,160,13.5,58.0,13.5,0,0,0,0,0,0,0
After Sex,1,0,Dan Cortese,Virginia Madsen,Maria Pitillo,After Sex,2000,96,5000000,4.5,205,13.5,48.0,13.5,0,0,1,1,0,1,0
After the Sunset,1,0,Pierce Brosnan,Salma Hayek,Woody Harrelson,After the Sunset,2004,97,58000000,6,3431,13.5,68.0,23.5,1,0,1,0,0,0,0
The Age of Innocence,1,0,Daniel Day-Lewis,Michelle Pfeiffer,Winona Ryder,Age of Innocence The,1993,139,34000000,7.1,6049,13.5,38.0,53.5,0,0,0,1,0,1,0
Agent Cody Banks,1,0,Frankie Muniz,Hilary Duff,Keith David,Agent Cody Banks,2003,102,26000000,5.5,2655,13.5,58.0,13.5,1,0,1,0,0,0,0
Agent Cody Banks 2 - Destination London,1,0,Frankie Muniz,Anthony Anderson,Hannah Spearritt,Agent Cody Banks 2 Destination London,2004,100,26000000,3.8,919,33.5,48.0,13.5,1,0,1,0,0,0,0
Agent on Ice,1,0,Tom Ormeny,Clifford David,Louis Pastore,Agent on Ice,1985,96,2500000,4.4,15,19.0,38.0,43.5,1,0,0,0,0,0,0
Air Bud,1,0,Michael Jeter,Kevin Zegers,Wendy Makkena,Air Bud,1997,98,3000000,4.7,1276,23.5,58.0,13.5,0,0,1,1,0,0,0
Air Force One,1,0,Harrison Ford,Gary Oldman,Glenn Close,Air Force One,1997,124,85000000,6.3,26156,13.5,58.0,23.5,1,0,0,1,0,0,0
Airborne,1,0,Shane Mc Dermott,Seth Green,Brittney Powell,Airborne,1993,91,2600000,5.2,1047,13.5,48.0,33.5,0,0,1,0,0,0,0
Airplane!,1,0,Robert Hays,Julie Hagerty,Kareem Abdul-Jabbar,Airplane,1980,88,3500000,7.8,23369,13.5,28.0,53.5,0,0,1,0,0,0,0
Akumulator 1 (Accumulator 1),1,0,Petr Forman,Edita Brychta,Zdenek Sverak,Akumulator 1,1994,102,2000000,7.1,272,9.0,18.0,83.5,0,0,1,0,0,0,0
Aladdin,1,0,Robin Williams,Scott Weinger,Linda Larkin,Aladdin,1992,90,28000000,7.6,22499,13.5,38.0,53.5,0,1,1,0,0,0,0
The Alamo,1,0,Dennis Quaid,Billy Bob Thornton,Jason Patric,Alamo The,2004,137,95000000,5.9,3060,13.5,58.0,23.5,1,0,0,1,0,0,0
"An Alan Smithee Film: Burn, Hollywood, Burn",1,0,Ryan O'Neal,Coolio,Chuck D.,Alan Smithee Film Burn Hollywood Burn An,1997,86,10000000,3.2,1262,53.5,18.0,13.5,0,0,1,0,0,0,0
Albino Alligator,1,0,Matt Dillon,Faye Dunaway,Gary Sinise,Albino Alligator,1996,97,5000000,6,2077,13.5,68.0,23.5,0,0,0,1,0,0,0
Alexander,1,0,Colin Farrell,Angelina Jolie,Val Kilmer,Alexander,2004,175,150000000,5.5,11254,23.5,48.0,23.5,0,0,0,1,0,0,0
Alfie,1,0,Jude Law,Marisa Tomei,Omar Epps,Alfie,2004,103,60000000,6,3492,13.5,58.0,23.5,0,0,1,1,0,0,0
Ali,1,0,Will Smith,Jamie Foxx,Jon Voight,Ali,2001,165,107000000,6.4,9294,13.5,68.0,23.5,0,0,0,1,0,0,0
Alias,1,0,Hilde De Baerdemaeker,Geert Hunaerts,Veerle Dobbelaere,Alias,2002,98,1500000,5.7,266,13.5,58.0,23.5,0,0,0,1,0,1,0
Alice,1,0,Mia Farrow,Joe Mantegna,Alec Baldwin,Alice,1990,102,12000000,6.4,1706,13.5,58.0,23.5,0,0,1,1,0,1,0
Alien Nation,1,0,James Caan,Mandy Patinkin,Terence Stamp,Alien Nation,1988,91,16000000,6,2171,13.5,68.0,23.5,0,0,0,1,0,0,0
Alien Resurrection,1,0,Sigourney Weaver,Winona Ryder,Ron Perlman,Alien Resurrection,1997,116,70000000,6,24358,13.5,58.0,23.5,1,0,0,0,0,0,0
Aliens,1,0,Sigourney Weaver,Carrie Henn,Michael Biehn,Aliens,1986,154,18500000,8.3,63961,13.5,28.0,73.5,1,0,0,0,0,0,0
Alive,1,0,Ethan Hawke,Vincent Spano,Josh Hamilton,Alive,1993,127,32000000,6.7,5786,13.5,48.0,33.5,1,0,0,1,0,0,0
All About the Benjamins,1,0,Ice Cube,Mike Epps,Eva Mendes,All About the Benjamins,2002,95,14000000,5.4,1250,13.5,58.0,13.5,1,0,1,0,0,0,0
All the Pretty Horses,1,0,Matt Damon,Henry Thomas,Lucas Black,All the Pretty Horses,2000,116,45000000,5.6,3133,13.5,58.0,23.5,0,0,0,1,0,0,0
All The Queen's Men,1,0,Matt LeBlanc,Eddie Izzard,James Cosmo,All the Queens Men,2001,105,25000000,5,353,23.5,48.0,23.5,1,0,1,1,0,0,0
All the Real Girls,1,0,Paul Schneider,Zooey Deschanel,Shea Whigham,All the Real Girls,2003,108,1000000,6.8,1745,13.5,38.0,43.5,0,0,0,1,0,1,0
Alligator,1,0,Robert Forster,Robin Riker,Michael Vincente Gazzo,Alligator,1980,89,1000000,5.5,1032,13.5,68.0,13.5,0,0,1,0,0,0,0
Alligator II: The Mutation (Alligator 2),1,0,Joseph Bologna,Woody Brown,Harlan Arnold,Alligator II The Mutation,1991,92,3000000,2.7,282,73.5,28.0,13.5,0,0,0,0,0,0,0
Almost Famous,1,0,Patrick Fugit,Billy Crudup,Frances McDormand,Almost Famous,2000,162,60000000,8,38648,13.5,28.0,73.5,0,0,1,1,0,0,0
Almost You,1,0,Brooke Adams,Griffin Dunne,Karen Young,Almost You,1985,96,1000000,4.9,44,23.5,58.0,13.5,0,0,1,1,0,0,0
Alone in the Dark,1,0,Christian Slater,Tara Reid,Stephen Dorff,Alone in the Dark,2005,96,20000000,2.1,2880,73.5,18.0,13.5,1,0,0,0,0,0,0
Along Came Polly,1,0,Ben Stiller,Jennifer Aniston,Philip Seymour Hoffman,Along Came Polly,2004,90,42000000,5.8,9785,13.5,68.0,13.5,0,0,1,0,0,1,0
Along Came a Spider,1,0,Morgan Freeman,Monica Potter,Michael Wincott,Along Came a Spider,2001,104,28000000,6.1,9456,13.5,68.0,23.5,0,0,0,1,0,0,0
Als je begrijpt wat ik bedoel (The Dragon That Wasn't (Or Was He?)) (Dexter the Dragon & Bumble the Bear),1,0,[],[],[],Als je begrijpt wat ik bedoel,1983,84,2000000,7.5,224,9.0,43.5,63.5,0,1,0,0,0,0,0
Always,1,0,Richard Dreyfuss,Holly Hunter,Brad Johnson,Always,1989,106,29500000,6.2,4913,13.5,68.0,23.5,0,0,0,1,0,1,0
Amadeus,1,0,F Murray Abraham,Tom Hulce,Elizabeth Berridge,Amadeus,1984,180,18000000,8.3,36955,13.5,28.0,83.5,0,0,0,1,0,0,0
America's Sweethearts,1,0,Julia Roberts,Billy Crystal,Catherine Zeta-Jones,Americas Sweethearts,2001,102,48000000,5.8,11849,13.5,68.0,13.5,0,0,1,0,0,1,0
American Beauty,1,0,Kevin Spacey,Annette Bening,Thora Birch,American Beauty,1999,121,15000000,8.5,109991,13.5,18.0,73.5,0,0,0,1,0,0,0
American Drive-In,1,0,Emily Longstreth,Pat Jack Kirton,Rhonda Snow,American DriveIn,1985,92,10000000,4.1,25,43.5,58.0,4.5,0,0,1,0,0,0,0
American Gigolo,1,0,Richard Gere,Lauren Hutton,Hector Elizondo,American Gigolo,1980,117,4800000,5.7,2469,13.5,68.0,23.5,0,0,0,1,0,1,0
American History X,1,0,Edward Norton,Edward Furlong,Fairuza Balk,American History X,1998,119,10000000,8.4,59677,13.5,28.0,73.5,0,0,0,1,0,0,0
American Me,1,0,Edward James Olmos,William Forsythe,Pepe Serna,American Me,1992,125,16000000,6.6,697,13.5,38.0,43.5,0,0,0,1,0,0,0
American Outlaws,1,0,Colin Farrell,Scott Caan,Ali Larter,American Outlaws,2001,94,35000000,5.5,2878,13.5,58.0,33.5,1,0,1,0,0,0,0
American Pie,1,0,Jason Biggs,Shannon Elizabeth,Alyson Hannigan,American Pie,1999,95,11000000,6.8,41126,13.5,48.0,53.5,0,0,1,0,0,0,0
American Pie 2,1,0,Jason Biggs,Shannon Elizabeth,Jennifer Coolidge,American Pie 2,2001,105,30000000,6.3,22752,13.5,58.0,23.5,0,0,1,0,0,0,0
The American President,1,0,Michael Douglas,Annette Bening,Martin Sheen,American President The,1995,114,62000000,6.9,11834,13.5,48.0,53.5,0,0,1,1,0,1,0
American Psycho,1,0,Christian Bale,Willem Dafoe,Jared Leto,American Psycho,2000,102,8000000,6.8,21639,13.5,48.0,53.5,0,0,0,1,0,0,0
American Wedding,1,0,Jason Biggs,Alyson Hannigan,January Jones,American Wedding,2003,103,55000000,6.3,13590,13.5,58.0,23.5,0,0,1,0,0,0,0
An American Werewolf in London,1,0,David Naughton,Jenny Agutter,Griffin Dunne,American Werewolf in London An,1981,92,10000000,7.2,8347,13.5,48.0,53.5,0,0,1,0,0,1,0
An American Werewolf in Paris,1,0,Tom Everett Scott,Julie Delpy,Vince Vieluf,American Werewolf in Paris An,1997,105,22000000,5,4302,13.5,58.0,13.5,0,0,1,0,0,1,0
Amistad,1,0,Morgan Freeman,Anthony Hopkins,Matthew McConaughey,Amistad,1997,152,40000000,7,10543,13.5,48.0,53.5,0,0,0,1,0,0,0
The Amityville Horror,1,0,Ryan Reynolds,Melissa George,Jesse James,Amityville Horror The,2005,90,18000000,5.8,2945,13.5,38.0,43.5,0,0,0,0,0,0,0
Amores Perros,1,0,Emilio Echeverria,Gael Garcia Bernal,Goya Toledo,Amores perros,2000,153,2000000,8.2,15079,13.5,28.0,73.5,0,0,0,1,0,0,0
Anaconda,1,0,Jennifer Lopez,Ice Cube,Jon Voight,Anaconda,1997,89,45000000,4.1,10510,43.5,48.0,13.5,1,0,0,0,0,0,0
Anacondas - The Hunt for the Blood Orchid,1,0,Johnny Messner,KaDee Strickland,Matthew Marsden,Anacondas The Hunt for the Blood Orchid,2004,97,25000000,4.2,2258,33.5,48.0,13.5,0,0,0,0,0,0,0
Analyze This,1,0,Robert De Niro,Billy Crystal,Lisa Kudrow,Analyze This,1999,109,30000000,6.6,24521,13.5,58.0,23.5,0,0,1,0,0,0,0
Anastasia,1,0,Meg Ryan,John Cusack,Kelsey Grammer,Anastasia,1997,94,53000000,6.5,4896,13.5,48.0,43.5,0,1,0,0,0,0,0
Anchorman - The Legend Of Ron Burgundy,1,0,Will Ferrell,Christina Applegate,Paul Rudd,Anchorman The Legend of Ron Burgundy,2004,104,26000000,6.5,11553,13.5,38.0,33.5,0,0,1,0,0,0,0
Angel Eyes,1,0,Jennifer Lopez,Jim Caviezel,Sonia Braga,Angel Eyes,2001,102,38000000,5.6,4829,13.5,58.0,23.5,0,0,0,1,0,1,0
Angel Heart,1,0,Mickey Rourke,Robert De Niro,Lisa Bonet,Angel Heart,1987,113,17000000,7.1,8335,13.5,48.0,53.5,0,0,0,0,0,0,0
Angela's Ashes,1,0,Emily Watson,Robert Carlyle,Joe Breen,Angelas Ashes,1999,145,25000000,6.8,4347,13.5,48.0,43.5,0,0,0,1,0,0,0
Anger Management,1,0,Adam Sandler,Jack Nicholson,Marisa Tomei,Anger Management,2003,106,75000000,6,14280,13.5,68.0,23.5,0,0,1,0,0,0,0
Anna and the King,1,0,Jodie Foster,Yun-Fat Chow,Ling Bai,Anna and the King,1999,148,75000000,6.6,6739,13.5,48.0,43.5,0,0,0,1,0,1,0
Annie,1,0,Albert Finney,Carol Burnett,Aileen Quinn,Annie,1982,126,50000000,5.7,3475,13.5,48.0,33.5,0,0,0,0,0,0,0
Another Woman,1,0,Gena Rowlands,Mia Farrow,Ian Holm,Another Woman,1988,84,10000000,7.2,1380,13.5,48.0,53.5,0,0,0,1,0,0,0
Another You,1,0,Richard Pryor,Gene Wilder,Mercedes Ruehl,Another You,1991,94,26000000,4.4,398,23.5,48.0,13.5,0,0,1,0,0,0,0
Antikiller,1,0,Yuri Kutsenko,Mikhail Ulyanov,Sergei Shakurov,Antikiller,2002,114,5000000,5.4,231,13.5,58.0,33.5,1,0,0,0,0,0,0
Antitrust,1,0,Ryan Phillippe,Rachael Leigh Cook,Claire Forlani,Antitrust,2001,108,30000000,6,7326,13.5,68.0,23.5,0,0,0,1,0,0,0
Antwone Fisher,1,0,Derek Luke,Joy Bryant,Denzel Washington,Antwone Fisher,2002,117,12500000,7.4,4472,13.5,38.0,53.5,0,0,0,1,0,0,0
Antz,1,0,Woody Allen,Sharon Stone,Sylvester Stallone,Antz,1998,83,60000000,7,16312,13.5,48.0,43.5,0,1,1,0,0,0,0
Any Given Sunday,1,0,Al Pacino,Cameron Diaz,Dennis Quaid,Any Given Sunday,1999,156,62000000,6.4,19531,13.5,48.0,23.5,0,0,0,1,0,0,0
Anything Else,1,0,Woody Allen,Jason Biggs,Christina Ricci,Anything Else,2003,108,18000000,6.5,3678,13.5,48.0,23.5,0,0,1,0,0,1,0
Anywhere But Here,1,0,Susan Sarandon,Natalie Portman,Eileen Ryan,Anywhere But Here,1999,114,23000000,5.9,4007,13.5,68.0,23.5,0,0,0,1,0,0,0
Apartment Zero,1,0,Colin Firth,Hart Bochner,Dora Bryan,Apartment Zero,1988,124,4000000,6.2,933,23.5,28.0,63.5,0,0,0,0,0,0,0
Apollo 13,1,0,Tom Hanks,Bill Paxton,Kevin Bacon,Apollo 13,1995,140,62000000,7.5,41098,13.5,48.0,53.5,0,0,0,1,0,0,0
The Apostle,1,0,Robert Duvall,Farrah Fawcett,Miranda Richardson,Apostle The,1997,134,5000000,7.2,4231,13.5,38.0,53.5,0,0,0,1,0,0,0
Apt Pupil,1,0,Ian McKellen,Brad Renfro,Bruce Davison,Apt Pupil,1998,112,14000000,6.4,6728,13.5,58.0,23.5,0,0,0,1,0,0,0
Arachnophobia,1,0,Jeff Daniels,Harley Jane Kozak,John Goodman,Arachnophobia,1990,103,31000000,6.1,8608,13.5,68.0,23.5,0,0,1,0,0,0,0
Un Argentino en New York (An Argentinian in New York),1,0,Bobby Thomson,Diana Lamas,Dusty Rhodes,Argentino en New York Un,1998,95,3000000,4.2,49,43.5,28.0,19.0,0,0,1,1,0,0,0
Arlington Road,1,0,Jeff Bridges,Tim Robbins,Joan Cusack,Arlington Road,1999,117,21500000,7.1,17189,13.5,48.0,43.5,0,0,0,1,0,0,0
Armageddon,1,0,Bruce Willis,Billy Bob Thornton,Liv Tyler,Armageddon,1998,153,140000000,5.7,45330,13.5,48.0,23.5,1,0,0,0,0,0,0
Armed Response,1,0,David Carradine,Lee Van Cleef,Mako,Armed Response,1986,86,1500000,4.2,70,23.5,48.0,23.5,1,0,0,0,0,0,0
Army of Darkness,1,0,Bruce Campbell,Embeth Davidtz,Marcus Gilbert,Army of Darkness,1993,96,11000000,7.4,22118,13.5,28.0,63.5,1,0,1,0,0,0,0
Around the Fire,1,0,Devon Sawa,Bill Smitrovich,Tara Reid,Around the Fire,1999,106,1200000,5.3,254,13.5,48.0,33.5,0,0,0,0,0,0,0
Around the World in 80 Days,1,0,Jackie Chan,Steve Coogan,Jim Broadbent,Around the World in 80 Days,2004,120,110000000,5.7,3887,13.5,58.0,23.5,1,0,1,0,0,1,0
A.I. Artificial Intelligence,1,0,Haley Joel Osment,Jude Law,Frances O'Connor,Artificial Intelligence AI,2001,146,90000000,6.8,36623,13.5,38.0,43.5,0,0,0,1,0,0,0
As Good As It Gets,1,0,Jack Nicholson,Helen Hunt,Greg Kinnear,As Good as It Gets,1997,139,50000000,7.7,47441,13.5,28.0,53.5,0,0,1,1,0,1,0
Asesino En Serio,1,0,Santiago Segura,Jesus Ochoa,Daniel Gimenez Cacho,Asesino en serio,2002,84,2500000,5.8,90,13.5,68.0,23.5,0,0,1,0,0,0,0
Assassins,1,0,Sylvester Stallone,Antonio Banderas,Julianne Moore,Assassins,1995,132,50000000,5.7,7354,13.5,68.0,23.5,1,0,0,0,0,0,0
Assault on Precinct 13,1,0,Ethan Hawke,Laurence Fishburne,Drea de Matteo,Assault on Precinct 13,2005,109,20000000,6.3,2960,13.5,48.0,23.5,1,0,0,1,0,0,0
The Astronaut's Wife,1,0,Johnny Depp,Charlize Theron,Joe Morton,Astronauts Wife The,1999,109,34000000,4.8,7253,23.5,68.0,13.5,0,0,0,0,0,0,0
At Close Range,1,0,Joel Sartore,Sean Penn,Christopher Walken,At Close Range,1986,111,6500000,6.6,1650,13.5,48.0,53.5,0,0,0,1,0,1,0
At First Sight,1,0,Val Kilmer,Mira Sorvino,Kelly McGillis,At First Sight,1999,128,40000000,5.7,3441,13.5,68.0,23.5,0,0,0,1,0,0,0
Atlantic City,1,0,Burt Lancaster,Susan Sarandon,Michel Piccoli,Atlantic City,1980,104,7200000,7.5,2384,13.5,48.0,53.5,0,0,0,1,0,1,0
Atlantis - The Lost Empire,1,0,Michael J. Fox,James Garner,Cree Summer,Atlantis The Lost Empire,2001,95,90000000,6.4,6323,13.5,68.0,23.5,1,1,0,0,0,0,0
The Attic Expeditions,1,0,Andras Jones,Seth Green,Jeffrey Combs,Attic Expeditions The,2001,100,1000000,5.4,384,13.5,48.0,33.5,0,0,0,0,0,0,0
Austin Powers in Goldmember,1,0,Mike Myers,Beyonce Knowles,Seth Green,Austin Powers in Goldmember,2002,94,63000000,6.2,22870,13.5,58.0,23.5,1,0,1,0,0,0,0
Austin Powers: International Man of Mystery,1,0,Mike Myers,Elizabeth Hurley,Michael York,Austin Powers International Man of Mystery,1997,94,17000000,7,33755,13.5,48.0,53.5,1,0,1,0,0,0,0
Austin Powers: The Spy Who Shagged Me,1,0,Mike Myers,Heather Graham,Michael York,Austin Powers The Spy Who Shagged Me,1999,95,33000000,6.5,37019,13.5,48.0,23.5,1,0,1,0,0,0,0
Autumn in New York,1,0,Richard Gere,Winona Ryder,Anthony LaPaglia,Autumn in New York,2000,103,40000000,4.7,3731,23.5,58.0,13.5,0,0,0,1,0,1,0
Avalon,1,0,Malgorzata Foremniak,Wladyslaw Kowalski,Jerzy Gudejko,Avalon,2001,106,8000000,6.8,2723,13.5,38.0,53.5,0,1,0,1,0,0,0
The Aviator,1,0,Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale,Aviator The,2004,170,116000000,7.5,16217,13.5,28.0,53.5,0,0,0,1,0,0,0
