RT_title,cast1,cast2,cast3,length,budget,imdb_rating,imdb_votes,rlow,rmed,rhigh,Action,Animation,Comedy,Drama,Documentary,Romance,RT_aud_score,RT_crit_score,RT_year,num_month,num_day,num_year,num_gross,mpaa_kid,mpaa_adult,Holiday,DayOfWeek
About a Boy,Hugh Grant,Nicholas Hoult,Toni Collette,101,27000000,7.5,18318,13.5,38.0,63.5,0,0,1,1,0,0,54,93,2002,5,17,2002,40803000,1,0,0,4
Absolute Power,Clint Eastwood,Gene Hackman,Ed Harris,121,50000000,6.4,7995,13.5,78.0,23.5,0,0,0,1,0,0,52,45,1997,2,14,1997,50068310,0,1,0,4
The Abyss,Ed Harris,Mary Elizabeth Mastrantonio,Michael Biehn,171,69750000,7.4,21987,13.5,48.0,53.5,1,0,0,1,0,0,83,88,1989,8,9,1989,54243125,1,0,0,2
Ace Ventura: Pet Detective,Jim Carrey,Courteney Cox,Sean Young,86,12000000,6.2,20705,13.5,48.0,23.5,0,0,1,0,0,0,57,45,1994,2,4,1994,72217396,1,0,0,4
Ace Ventura - When Nature Calls,Jim Carrey,Ian McNeice,Simon Callow,90,30000000,4.9,15161,13.5,58.0,13.5,0,0,1,0,0,0,72,33,1995,11,10,1995,108360063,1,0,1,4
Adaptation,Nicolas Cage,Meryl Streep,Chris Cooper,114,18750000,7.9,25140,13.5,28.0,73.5,0,0,1,1,0,0,85,91,2002,12,6,2002,22498520,0,1,0,4
The Addams Family,Anjelica Huston,Raul Julia,Christopher Lloyd,99,34000000,6.4,11549,13.5,68.0,23.5,0,0,1,0,0,0,66,60,1991,11,22,1991,113502246,1,0,0,4
The Adventures of Elmo in Grouchland,Kevin Clash,Fran Brill,Stephanie D'Abruzzo,89,17000000,5.5,420,13.5,58.0,33.5,0,0,1,0,0,0,64,77,1999,10,1,1999,11634458,1,0,0,4
The Adventures of Huck Finn,Elijah Wood,Courtney B. Vance,Robbie Coltrane,108,6500000,5.9,1134,13.5,58.0,33.5,0,0,0,1,0,0,50,69,1993,4,2,1993,24103594,1,0,0,4
The Adventures of Pinocchio,Martin Landau,Jonathan Taylor Thomas,Genevieve Bujold,92,25000000,5.6,577,13.5,48.0,33.5,0,0,0,0,0,0,26,27,1996,7,26,1996,15382170,1,0,0,4
The Adventures of Pluto Nash,Eddie Murphy,Randy Quaid,Rosario Dawson,95,100000000,3.9,2543,43.5,48.0,13.5,1,0,1,0,0,0,16,5,2002,8,16,2002,4411102,1,0,0,4
The Adventures of Rocky & Bullwinkle,Rene Russo,Jason Alexander,Piper Perabo,88,76000000,4.3,4815,43.5,58.0,13.5,0,1,1,0,0,0,19,42,2000,6,30,2000,26000610,1,0,0,4
After the Sunset,Pierce Brosnan,Salma Hayek,Woody Harrelson,97,57500000,6.0,3431,13.5,68.0,23.5,1,0,1,0,0,0,53,18,2004,11,12,2004,28328132,1,0,1,4
The Age of Innocence,Daniel Day-Lewis,Michelle Pfeiffer,Winona Ryder,139,34000000,7.1,6049,13.5,38.0,53.5,0,0,0,1,0,1,76,80,1993,9,17,1993,32014993,1,0,0,4
Agent Cody Banks,Frankie Muniz,Hilary Duff,Keith David,102,25500000,5.5,2655,13.5,58.0,13.5,1,0,1,0,0,0,32,39,2003,3,14,2003,47545060,1,0,0,4
Agent Cody Banks 2 - Destination London,Frankie Muniz,Anthony Anderson,Hannah Spearritt,100,26000000,3.8,919,33.5,48.0,13.5,1,0,1,0,0,0,32,13,2004,3,12,2004,23514247,1,0,0,4
Air Bud,Michael Jeter,Kevin Zegers,Wendy Makkena,98,3000000,4.7,1276,23.5,58.0,13.5,0,0,1,1,0,0,38,45,1997,8,1,1997,24646936,1,0,0,4
Air Force One,Harrison Ford,Gary Oldman,Glenn Close,124,85000000,6.3,26156,13.5,58.0,23.5,1,0,0,1,0,0,66,79,1997,7,25,1997,172956409,0,1,0,4
Airplane!,Robert Hays,Julie Hagerty,Kareem Abdul-Jabbar,88,3500000,7.8,23369,13.5,28.0,53.5,0,0,1,0,0,0,89,98,1980,7,4,1980,83453539,1,0,1,4
Aladdin,Robin Williams,Scott Weinger,Linda Larkin,90,28000000,7.6,22499,13.5,38.0,53.5,0,1,1,0,0,0,92,94,1992,11,11,1992,217350219,1,0,1,2
The Alamo,Dennis Quaid,Billy Bob Thornton,Jason Patric,137,93500000,5.9,3060,13.5,58.0,23.5,1,0,0,1,0,0,45,30,2004,4,9,2004,22406362,1,0,0,4
"An Alan Smithee Film: Burn, Hollywood, Burn",Ryan O'Neal,Coolio,Chuck D.,86,10000000,3.2,1262,53.5,18.0,13.5,0,0,1,0,0,0,14,8,1997,2,27,1998,45779,0,1,0,4
Albino Alligator,Matt Dillon,Faye Dunaway,Gary Sinise,97,5000000,6.0,2077,13.5,68.0,23.5,0,0,0,1,0,0,42,44,1996,1,17,1997,353480,0,1,0,4
Alexander,Colin Farrell,Angelina Jolie,Val Kilmer,175,152500000,5.5,11254,23.5,48.0,23.5,0,0,0,1,0,0,35,16,2004,11,24,2004,34297191,0,1,1,2
Alfie,Jude Law,Marisa Tomei,Omar Epps,103,50000000,6.0,3492,13.5,58.0,23.5,0,0,1,1,0,0,52,49,2004,11,5,2004,13395939,0,1,0,4
Ali,Will Smith,Jamie Foxx,Jon Voight,165,108000000,6.4,9294,13.5,68.0,23.5,0,0,0,1,0,0,65,67,2001,12,25,2001,58183966,0,1,1,1
Alien Resurrection,Sigourney Weaver,Winona Ryder,Ron Perlman,116,65000000,6.0,24358,13.5,58.0,23.5,1,0,0,0,0,0,41,52,1997,11,26,1997,47795018,0,1,1,2
Aliens,Sigourney Weaver,Carrie Henn,Michael Biehn,154,17750000,8.3,63961,13.5,28.0,73.5,1,0,0,0,0,0,94,98,1986,7,18,1986,85160248,0,1,0,4
Alive,Ethan Hawke,Vincent Spano,Josh Hamilton,127,32000000,6.7,5786,13.5,48.0,33.5,1,0,0,1,0,0,69,68,1993,1,15,1993,36299670,0,1,0,4
All About the Benjamins,Ice Cube,Mike Epps,Eva Mendes,95,14000000,5.4,1250,13.5,58.0,13.5,1,0,1,0,0,0,78,30,2002,3,8,2002,25482931,0,1,0,4
All the Pretty Horses,Matt Damon,Henry Thomas,Lucas Black,116,45000000,5.6,3133,13.5,58.0,23.5,0,0,0,1,0,0,43,32,2000,12,22,2000,15527125,1,0,0,4
All The Queen's Men,Matt LeBlanc,Eddie Izzard,James Cosmo,105,20000000,5.0,353,23.5,48.0,23.5,1,0,1,1,0,0,50,7,2001,10,25,2002,22723,1,0,0,4
All the Real Girls,Paul Schneider,Zooey Deschanel,Shea Whigham,108,1000000,6.8,1745,13.5,38.0,43.5,0,0,0,1,0,1,78,71,2003,2,14,2003,549666,0,1,0,4
Almost Famous,Patrick Fugit,Billy Crudup,Frances McDormand,162,60000000,8.0,38648,13.5,28.0,73.5,0,0,1,1,0,0,92,88,2000,9,15,2000,32522352,0,1,0,4
Alone in the Dark,Christian Slater,Tara Reid,Stephen Dorff,96,20000000,2.1,2880,73.5,18.0,13.5,1,0,0,0,0,0,10,1,2005,1,28,2005,5178569,0,1,0,4
Along Came Polly,Ben Stiller,Jennifer Aniston,Philip Seymour Hoffman,90,42000000,5.8,9785,13.5,68.0,13.5,0,0,1,0,0,1,47,26,2004,1,16,2004,88073507,1,0,0,4
Along Came a Spider,Morgan Freeman,Monica Potter,Michael Wincott,104,28000000,6.1,9456,13.5,68.0,23.5,0,0,0,1,0,0,54,32,2001,4,6,2001,74058698,0,1,0,4
Amadeus,F Murray Abraham,Tom Hulce,Elizabeth Berridge,180,18000000,8.3,36955,13.5,28.0,83.5,0,0,0,1,0,0,95,95,1984,9,19,1984,51973029,0,1,0,2
America's Sweethearts,Julia Roberts,Billy Crystal,Catherine Zeta-Jones,102,47000000,5.8,11849,13.5,68.0,13.5,0,0,1,0,0,1,40,31,2001,7,20,2001,93607673,1,0,0,4
American Beauty,Kevin Spacey,Annette Bening,Thora Birch,121,15000000,8.5,109991,13.5,18.0,73.5,0,0,0,1,0,0,93,88,1999,9,15,1999,130058047,0,1,0,2
American History X,Edward Norton,Edward Furlong,Fairuza Balk,119,10000000,8.4,59677,13.5,28.0,73.5,0,0,0,1,0,0,96,82,1998,10,30,1998,6719864,0,1,0,4
American Outlaws,Colin Farrell,Scott Caan,Ali Larter,94,35000000,5.5,2878,13.5,58.0,33.5,1,0,1,0,0,0,69,14,2001,8,17,2001,13264986,1,0,0,4
American Pie,Jason Biggs,Shannon Elizabeth,Alyson Hannigan,95,11500000,6.8,41126,13.5,48.0,53.5,0,0,1,0,0,0,60,61,1999,7,9,1999,101800948,0,1,0,4
American Pie 2,Jason Biggs,Shannon Elizabeth,Jennifer Coolidge,105,30000000,6.3,22752,13.5,58.0,23.5,0,0,1,0,0,0,68,52,2001,8,10,2001,145096820,0,1,0,4
The American President,Michael Douglas,Annette Bening,Martin Sheen,114,62000000,6.9,11834,13.5,48.0,53.5,0,0,1,1,0,1,78,90,1995,11,17,1995,60022813,1,0,0,4
American Psycho,Christian Bale,Willem Dafoe,Jared Leto,102,8000000,6.8,21639,13.5,48.0,53.5,0,0,0,1,0,0,85,67,2000,4,14,2000,15070285,0,1,0,4
American Wedding,Jason Biggs,Alyson Hannigan,January Jones,103,55000000,6.3,13590,13.5,58.0,23.5,0,0,1,0,0,0,64,55,2003,8,1,2003,104354205,0,1,0,4
Amistad,Morgan Freeman,Anthony Hopkins,Matthew McConaughey,152,40000000,7.0,10543,13.5,48.0,53.5,0,0,0,1,0,0,79,76,1997,12,12,1997,44229441,0,1,0,4
The Amityville Horror,Ryan Reynolds,Melissa George,Jesse James,90,18250000,5.8,2945,13.5,38.0,43.5,0,0,0,0,0,0,53,23,2005,4,15,2005,65233369,0,1,0,4
Amores Perros,Emilio Echeverria,Gael Garcia Bernal,Goya Toledo,153,2000000,8.2,15079,13.5,28.0,73.5,0,0,0,1,0,0,94,92,2000,3,30,2001,5383834,0,1,0,4
Anaconda,Jennifer Lopez,Ice Cube,Jon Voight,89,45000000,4.1,10510,43.5,48.0,13.5,1,0,0,0,0,0,24,38,1997,4,11,1997,65598907,1,0,0,4
Anacondas - The Hunt for the Blood Orchid,Johnny Messner,KaDee Strickland,Matthew Marsden,97,25000000,4.2,2258,33.5,48.0,13.5,0,0,0,0,0,0,27,26,2004,8,27,2004,31526393,1,0,0,4
Analyze This,Robert De Niro,Billy Crystal,Lisa Kudrow,109,30000000,6.6,24521,13.5,58.0,23.5,0,0,1,0,0,0,62,69,1999,3,5,1999,106885658,0,1,0,4
Anastasia,Meg Ryan,John Cusack,Kelsey Grammer,94,53000000,6.5,4896,13.5,48.0,43.5,0,1,0,0,0,0,77,86,1997,11,14,1997,58403409,1,0,0,4
Anchorman - The Legend Of Ron Burgundy,Will Ferrell,Christina Applegate,Paul Rudd,104,25500000,6.5,11553,13.5,38.0,33.5,0,0,1,0,0,0,87,66,2004,7,9,2004,84136909,1,0,0,4
Angel Eyes,Jennifer Lopez,Jim Caviezel,Sonia Braga,102,38000000,5.6,4829,13.5,58.0,23.5,0,0,0,1,0,1,46,33,2001,5,18,2001,24044532,0,1,0,4
Angela's Ashes,Emily Watson,Robert Carlyle,Joe Breen,145,25000000,6.8,4347,13.5,48.0,43.5,0,0,0,1,0,0,82,52,1999,12,24,1999,13038660,0,1,1,4
Anger Management,Adam Sandler,Jack Nicholson,Marisa Tomei,106,65500000,6.0,14280,13.5,68.0,23.5,0,0,1,0,0,0,61,43,2003,4,11,2003,135560942,1,0,0,4
Anna and the King,Jodie Foster,Yun-Fat Chow,Ling Bai,148,75000000,6.6,6739,13.5,48.0,43.5,0,0,0,1,0,1,65,51,1999,12,17,1999,39251128,1,0,0,4
Antitrust,Ryan Phillippe,Rachael Leigh Cook,Claire Forlani,108,30000000,6.0,7326,13.5,68.0,23.5,0,0,0,1,0,0,51,24,2001,1,12,2001,10965209,1,0,0,4
Antwone Fisher,Derek Luke,Joy Bryant,Denzel Washington,117,12500000,7.4,4472,13.5,38.0,53.5,0,0,0,1,0,0,86,79,2002,12,19,2002,21078145,1,0,0,3
Antz,Woody Allen,Sharon Stone,Sylvester Stallone,83,60000000,7.0,16312,13.5,48.0,43.5,0,1,1,0,0,0,50,95,1998,10,2,1998,90757863,1,0,0,4
Any Given Sunday,Al Pacino,Cameron Diaz,Dennis Quaid,156,61000000,6.4,19531,13.5,48.0,23.5,0,0,0,1,0,0,74,50,1999,12,22,1999,75530832,0,1,0,2
Anything Else,Woody Allen,Jason Biggs,Christina Ricci,108,18000000,6.5,3678,13.5,48.0,23.5,0,0,1,0,0,1,46,40,2003,9,19,2003,3203044,0,1,0,4
Anywhere But Here,Susan Sarandon,Natalie Portman,Eileen Ryan,114,23000000,5.9,4007,13.5,68.0,23.5,0,0,0,1,0,0,56,64,1999,11,12,1999,18653615,1,0,1,4
Apollo 13,Tom Hanks,Bill Paxton,Kevin Bacon,140,63500000,7.5,41098,13.5,48.0,53.5,0,0,0,1,0,0,86,95,1995,6,30,1995,172070496,1,0,0,4
The Apostle,Robert Duvall,Farrah Fawcett,Miranda Richardson,134,5000000,7.2,4231,13.5,38.0,53.5,0,0,0,1,0,0,79,91,1997,12,17,1997,20733485,1,0,0,2
Arachnophobia,Jeff Daniels,Harley Jane Kozak,John Goodman,103,31000000,6.1,8608,13.5,68.0,23.5,0,0,1,0,0,0,52,91,1990,7,18,1990,53208180,1,0,0,2
Arlington Road,Jeff Bridges,Tim Robbins,Joan Cusack,117,21500000,7.1,17189,13.5,48.0,43.5,0,0,0,1,0,0,75,62,1999,7,9,1999,24419219,0,1,0,4
Army of Darkness,Bruce Campbell,Embeth Davidtz,Marcus Gilbert,96,11000000,7.4,22118,13.5,28.0,63.5,1,0,1,0,0,0,87,70,1993,2,19,1993,11502976,0,1,0,4
Around the World in 80 Days,Jackie Chan,Steve Coogan,Jim Broadbent,120,110000000,5.7,3887,13.5,58.0,23.5,1,0,1,0,0,1,34,31,2004,6,16,2004,24004159,1,0,0,2
A.I. Artificial Intelligence,Haley Joel Osment,Jude Law,Frances O'Connor,146,90000000,6.8,36623,13.5,38.0,43.5,0,0,0,1,0,0,64,73,2001,6,29,2001,78616689,1,0,0,4
As Good As It Gets,Jack Nicholson,Helen Hunt,Greg Kinnear,139,50000000,7.7,47441,13.5,28.0,53.5,0,0,1,1,0,1,87,86,1997,12,24,1997,148478011,1,0,1,2
Assassins,Sylvester Stallone,Antonio Banderas,Julianne Moore,132,50000000,5.7,7354,13.5,68.0,23.5,1,0,0,0,0,0,45,16,1995,10,6,1995,30306268,0,1,0,4
Assault on Precinct 13,Ethan Hawke,Laurence Fishburne,Drea de Matteo,109,25000000,6.3,2960,13.5,48.0,23.5,1,0,0,1,0,0,49,60,2005,1,19,2005,20040895,0,1,1,2
The Astronaut's Wife,Johnny Depp,Charlize Theron,Joe Morton,109,34000000,4.8,7253,23.5,68.0,13.5,0,0,0,0,0,0,33,16,1999,8,27,1999,10672566,0,1,0,4
At First Sight,Val Kilmer,Mira Sorvino,Kelly McGillis,128,40000000,5.7,3441,13.5,68.0,23.5,0,0,0,1,0,0,47,32,1999,1,15,1999,22365133,1,0,0,4
Atlantis - The Lost Empire,Michael J. Fox,James Garner,Cree Summer,95,90000000,6.4,6323,13.5,68.0,23.5,1,1,0,0,0,0,51,49,2001,6,8,2001,84052762,1,0,0,4
Austin Powers in Goldmember,Mike Myers,Beyonce Knowles,Seth Green,94,63000000,6.2,22870,13.5,58.0,23.5,1,0,1,0,0,0,43,54,2002,7,25,2002,213117789,1,0,0,3
Austin Powers: International Man of Mystery,Mike Myers,Elizabeth Hurley,Michael York,94,17500000,7.0,33755,13.5,48.0,53.5,1,0,1,0,0,0,77,70,1997,5,2,1997,53883989,1,0,0,4
Autumn in New York,Richard Gere,Winona Ryder,Anthony LaPaglia,103,40000000,4.7,3731,23.5,58.0,13.5,0,0,0,1,0,1,55,20,2000,8,11,2000,37752931,1,0,0,4
The Aviator,Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale,170,113000000,7.5,16217,13.5,28.0,53.5,0,0,0,1,0,0,79,87,2004,12,17,2004,102608827,1,0,0,4
Babe,James Cromwell,Magda Szubanski,Christine Cavanaugh,89,30000000,7.4,16988,13.5,38.0,53.5,0,0,1,1,0,0,66,97,1995,8,4,1995,63658910,1,0,0,4
Babe: Pig in the City,Magda Szubanski,James Cromwell,Mary Stein,97,80000000,6.5,3827,13.5,38.0,43.5,0,0,1,0,0,0,40,61,1998,11,25,1998,18319860,1,0,1,2
Baby Boy,Tyrese Gibson,Omar Gooding,A.J. Johnson,130,16000000,6.2,1476,13.5,48.0,23.5,0,0,0,1,0,1,88,71,2001,6,27,2001,28734552,0,1,0,2
Baby Geniuses,Kathleen Turner,Christopher Lloyd,Kim Cattrall,97,13000000,2.4,3142,64.5,18.0,13.5,0,0,1,0,0,0,23,2,1999,3,12,1999,27151490,1,0,0,4
Baby's Day Out,Joe Mantegna,Lara Flynn Boyle,Joe Pantoliano,99,50000000,4.4,1856,23.5,58.0,13.5,0,0,1,0,0,0,52,21,1994,7,1,1994,16581575,1,0,0,4
The Bachelor,Chris O'Donnell,Renee Zellweger,Hal Holbrook,101,21000000,5.0,4183,13.5,68.0,13.5,0,0,1,0,0,1,28,9,1999,11,5,1999,21731001,1,0,0,4
Back to the Future,Michael J. Fox,Christopher Lloyd,Crispin Glover,111,19000000,8.1,68647,13.5,28.0,63.5,1,0,1,0,0,0,94,96,1985,7,3,1985,210609762,1,0,1,2
Back to the Future Part II,Michael J. Fox,Christopher Lloyd,Lea Thompson,108,40000000,7.0,28547,13.5,48.0,53.5,0,0,1,0,0,0,85,64,1989,11,22,1989,118450002,1,0,1,2
Back to the Future Part III,Michael J. Fox,Christopher Lloyd,Mary Steenburgen,118,40000000,6.7,24682,13.5,48.0,23.5,0,0,1,0,0,0,78,73,1990,5,24,1990,87666629,1,0,0,3
Bad Boys,Martin Lawrence,Will Smith,Tea Leoni,118,23000000,6.4,15326,13.5,48.0,23.5,1,0,1,0,0,0,79,43,1995,4,7,1995,65647413,0,1,0,4
Bad Boys II,Martin Lawrence,Will Smith,Jordi Molla,145,130000000,6.1,13087,13.5,48.0,33.5,1,0,1,0,0,0,79,23,2003,7,18,2003,138540870,0,1,0,4
Bad Company,Anthony Hopkins,Chris Rock,Matthew Marsh,116,70000000,5.4,6175,13.5,58.0,13.5,1,0,1,0,0,0,36,10,2002,6,7,2002,30157016,1,0,0,4
Bad Santa,Billy Bob Thornton,Tony Cox,Brett Kelly (II),98,18000000,7.2,11189,13.5,48.0,53.5,0,0,1,0,0,0,76,77,2003,11,26,2003,60060328,0,1,1,2
Bait,Jamie Foxx,David Morse,Doug Hutchison,119,35000000,5.6,1884,13.5,68.0,13.5,1,0,1,0,0,0,42,26,2000,9,15,2000,15325127,0,1,0,4
The Ballad of Jack and Rose,Daniel Day-Lewis,Camilla Belle,Catherine Keener,112,1500000,6.2,269,13.5,28.0,53.5,0,0,0,1,0,0,63,47,2004,3,25,2005,712294,0,1,0,4
Bamboozled,Damon Wayans,Savion Glover,Jada Pinkett Smith,135,10000000,6.3,2356,13.5,38.0,43.5,0,0,1,1,0,0,75,48,2000,10,6,2000,2185266,0,1,0,4
Bandits,Bruce Willis,Billy Bob Thornton,Cate Blanchett,123,77500000,6.7,12382,13.5,48.0,33.5,0,0,1,1,0,1,59,65,2001,10,12,2001,41523271,1,0,0,4
The Banger Sisters,Goldie Hawn,Susan Sarandon,Geoffrey Rush,98,10000000,5.6,3189,13.5,58.0,13.5,0,0,1,1,0,0,42,47,2002,9,20,2002,30306281,0,1,0,4
Barbershop,Ice Cube,Anthony Anderson,Cedric the Entertainer,102,12000000,6.6,4943,13.5,48.0,33.5,0,0,1,1,0,0,62,82,2002,9,13,2002,75781642,1,0,0,4
Barbershop 2 - Back in Business,Ice Cube,Cedric the Entertainer,Sean Patrick Thomas,106,18000000,5.7,1580,13.5,68.0,13.5,0,0,1,0,0,0,48,68,2004,2,6,2004,65070412,1,0,0,4
Barney's Great Adventure: The Movie,George Hearn,Shirley Douglas,Trevor Morgan,76,15000000,2.9,249,54.5,18.0,23.5,0,0,0,0,0,0,41,26,1998,4,3,1998,11156471,1,0,0,4
Basic,John Travolta,Connie Nielsen,Samuel L. Jackson,98,50000000,6.2,8370,13.5,68.0,23.5,0,0,0,1,0,0,65,21,2003,3,28,2003,26599248,0,1,0,4
The Basket,Peter Coyote,Karen Allen,Robert Karl Burke,105,2150000,6.3,200,13.5,28.0,53.5,0,0,0,1,0,0,22,44,1999,5,5,2000,609042,1,0,0,4
Batman,Michael Keaton,Jack Nicholson,Kim Basinger,126,35000000,7.4,35927,13.5,48.0,53.5,1,0,0,0,0,0,84,71,1989,6,23,1989,251188924,1,0,0,4
Batman & Robin,Arnold Schwarzenegger,George Clooney,Chris O'Donnell,125,117500000,3.6,28457,53.5,38.0,13.5,1,0,0,0,0,0,17,12,1997,6,20,1997,107325195,1,0,0,4
Batman Forever,Val Kilmer,Tommy Lee Jones,Jim Carrey,122,100000000,5.4,24025,13.5,68.0,13.5,1,0,0,0,0,1,34,41,1995,6,16,1995,184031112,1,0,1,4
Batman Returns,Michael Keaton,Danny DeVito,Michelle Pfeiffer,126,80000000,6.5,23010,13.5,48.0,23.5,1,0,0,0,0,1,72,81,1992,6,18,1992,162833635,1,0,1,3
The Battle of Shaker Heights,Shia LaBeouf,Elden Henson,Amy Smart,90,1000000,6.0,854,13.5,48.0,33.5,0,0,1,1,0,1,51,41,2003,8,22,2003,280351,1,0,0,4
Be Cool,John Travolta,Uma Thurman,Vince Vaughn,118,64000000,5.5,4560,13.5,48.0,33.5,0,0,1,0,0,0,43,30,2005,3,4,2005,55849401,1,0,0,4
The Beach,Leonardo DiCaprio,Tilda Swinton,Virginie Ledoyen,119,50000000,5.8,15020,13.5,58.0,23.5,0,0,0,1,0,0,58,19,2000,2,11,2000,39778599,0,1,0,4
Beastmaster 2: Through the Portal of Time,Marc Singer,Kari Wuhrer,Wings Hauser,107,6000000,3.1,564,53.5,28.0,13.5,1,0,0,0,0,0,34,17,1991,8,30,1991,773490,1,0,0,4
Beautiful,Minnie Driver,Joey Lauren Adams,Hallie Kate Eisenberg,112,9000000,5.3,991,13.5,48.0,13.5,0,0,1,1,0,0,55,16,2000,9,29,2000,3134509,1,0,0,4
A Beautiful Mind,Russell Crowe,Jennifer Connelly,Ed Harris,135,69000000,7.8,43291,13.5,28.0,63.5,0,0,0,1,0,0,93,76,2001,12,21,2001,170708996,1,0,0,4
Beavis and Butt-Head Do America,Mike Judge,Cloris Leachman,Robert Stack,81,12000000,6.2,9491,13.5,58.0,33.5,0,1,1,0,0,0,70,72,1996,12,20,1996,63118386,1,0,0,4
Because of Winn-Dixie,Annasophia Robb,Jeff Daniels,Cicely Tyson,106,14500000,5.9,483,23.5,28.0,53.5,0,0,1,1,0,0,65,54,2005,2,18,2005,32647042,1,0,0,4
